case_id,prototype_id,backbone_variant,density_level,lane_count,different_parent_lane_state_count,different_parent_lane_state_ratio,local_selection_id,ours_selection_id
C059,proto_sw_3_1,expanded,rich,6,1,0.16666666666666666,proto_sw_3_1__seed_1964058663__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_1964058663__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C060,proto_sw_3_1,expanded,rich,6,2,0.3333333333333333,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_898415462__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C061,proto_sw_3_1,compact,simple,6,2,0.3333333333333333,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_302128940__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C062,proto_sw_3_1,compact,simple,6,3,0.5,proto_sw_3_1__seed_3724261499__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_3724261499__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C063,proto_sw_3_1,compact,medium,6,2,0.3333333333333333,proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_1989963110__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C064,proto_sw_3_1,compact,medium,6,4,0.6666666666666666,proto_sw_3_1__seed_608345505__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_608345505__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C065,proto_sw_3_1,compact,rich,6,3,0.5,proto_sw_3_1__seed_3906224916__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_3906224916__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C066,proto_sw_3_1,compact,rich,6,4,0.6666666666666666,proto_sw_3_1__seed_1105195513__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_1105195513__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C067,proto_sw_3_1,swept,simple,6,2,0.3333333333333333,proto_sw_3_1__seed_686836685__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_686836685__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C068,proto_sw_3_1,swept,simple,6,3,0.5,proto_sw_3_1__seed_279600048__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_279600048__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C069,proto_sw_3_1,swept,medium,5,2,0.4,proto_sw_3_1__seed_399132903__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_399132903__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C070,proto_sw_3_1,swept,medium,6,2,0.3333333333333333,proto_sw_3_1__seed_3322687601__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_3322687601__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C071,proto_sw_3_1,swept,rich,7,6,0.8571428571428571,proto_sw_3_1__seed_2781254137__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_2781254137__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C072,proto_sw_3_1,swept,rich,7,4,0.5714285714285714,proto_sw_3_1__seed_1978891010__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_1__seed_1978891010__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C073,proto_sw_3_2,expanded,simple,5,4,0.8,proto_sw_3_2__seed_3906224916__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_3906224916__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C074,proto_sw_3_2,expanded,simple,5,3,0.6,proto_sw_3_2__seed_1462814306__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_1462814306__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C075,proto_sw_3_2,expanded,medium,6,4,0.6666666666666666,proto_sw_3_2__seed_399132903__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_399132903__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C076,proto_sw_3_2,expanded,medium,6,2,0.3333333333333333,proto_sw_3_2__seed_3322687601__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_3322687601__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b
C077,proto_sw_3_2,expanded,rich,7,2,0.2857142857142857,proto_sw_3_2__seed_302128940__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_302128940__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C078,proto_sw_3_2,expanded,rich,7,2,0.2857142857142857,proto_sw_3_2__seed_1575422959__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_1575422959__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b
C079,proto_sw_3_2,compact,simple,5,2,0.4,proto_sw_3_2__seed_1964058663__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_1964058663__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
C080,proto_sw_3_2,compact,simple,5,2,0.4,proto_sw_3_2__seed_1548718105__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,proto_sw_3_2__seed_1548718105__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b
