case_id,matrix_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l1_only_count,selected_l2_count,branchunit_count,stage3_runtime_seconds,stage4_runtime_seconds,conflict_graph_runtime_seconds,selection_runtime_seconds,render_runtime_seconds,total_runtime_seconds,l1_candidate_count,branchunit_candidate_count,conflict_edge_count,pair_penalty_count,search_node_count,search_node_limit,search_node_limit_reached,case_dir,mechanical_evaluation_success,internal_unit_crossing_count,cross_unit_crossing_count,ordinary_backbone_nonroot_crossing_count,ordinary_support_crossing_count,periodic_crossing_count,minimum_cross_unit_clearance,minimum_full_unit_clearance_required,clearance_violation_count,flower_region_intrusion_curve_count,backbone_seam_position_gap,backbone_seam_tangent_dot,periodic_seam_violation_count,parallel_cotravel_total,parallel_cotravel_peak,l1_layout_crossing_count,l1_layout_periodic_crossing_count,l1_layout_minimum_clearance,l1_layout_parallel_cotravel_total,l1_layout_parallel_cotravel_peak,l1_count,l2_count,branchunit_count_evaluated,ordinary_total_length,ordinary_mean_length,mean_backbone_excursion,vertical_span,occupied_area_ratio,upper_allocation_ratio,lower_allocation_ratio,hierarchy_l1_only_ratio,hierarchy_single_l2_ratio,hierarchy_opposed_l2_ratio,density_resource_D,root_hist_0,root_hist_1,root_hist_2,root_hist_3,root_hist_4,root_hist_5,root_hist_6,root_hist_7,root_gap_q25,root_gap_q50,root_gap_q75,root_gap_max,root_coverage_qcov,root_concentration,mechanical_evaluation_error
A376,A,Ours,proto_sw_3_2,swept,simple,2,200001,1,,,5,4,1,5,50.50434150000001,1.8355956000013975,1.0363299999989977,0.002347699999518227,0.026034700000309385,53.41968049999923,2156,125,42,149,134,300000,0,raw_cases/A376,1,0,0,0,0,0,0.07842055745328759,0.021319526,0,0,0.0,1.0000000000000002,0,0.014732110194351937,0.014617911258885915,0,0,0.0785915304121406,1.3061547591249436,0.38038560867576643,5,1,5,1.3820945263847986,0.23034908773079976,0.08417159219549185,0.654368737,0.02448830409356725,0.6,0.4,0.8,0.2,0.0,0.27834548,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.121212122,0.21212121199999998,0.212121212,0.333333333,0.666666667,0.2,
A377,A,Ours,proto_sw_3_2,swept,medium,2,200001,1,,,6,5,1,6,50.33282120000149,2.3266988999966998,1.034691799999564,0.0023338999999396037,0.0316419999981008,53.74775999999838,2156,150,30,195,271,300000,0,raw_cases/A377,1,0,0,0,0,0,0.058487491501934205,0.021319526,0,0,0.0,1.0000000000000002,0,0.007126461078272519,0.003823992388401949,0,0,0.05863501197875297,0.8157359675796562,0.33518702537339456,6,1,6,1.4361742274971256,0.20516774678530367,0.0862562201971716,0.647415879,0.025647615131578948,0.6666666666666666,0.3333333333333333,0.8333333333333334,0.16666666666666666,0.0,0.448712295,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0984848485,0.1212121215,0.21212121274999998,0.333333333,0.666666667,0.16666666666666666,
A378,A,Ours,proto_sw_3_2,swept,rich,2,200001,1,,,7,6,1,7,50.191542800002935,2.6667034000020067,3.052246600000217,0.002735699999902863,0.02862210000239429,55.95948230000067,2156,175,134,708,330,300000,0,raw_cases/A378,1,0,0,0,0,0,0.03672066054278774,0.021319526,0,0,0.0,1.0000000000000002,0,0.002105511329145946,0.0013062857214697296,0,0,0.03672066054278774,2.253778506430973,0.3970709373273303,7,1,7,1.664857629061427,0.20810720363267837,0.07505488267940852,0.59724157,0.029736613669590642,0.5714285714285714,0.42857142857142855,0.8571428571428571,0.14285714285714285,0.0,0.67920342,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.106060606,0.12121212199999998,0.1363636365,0.303030303,0.696969697,0.14285714285714285,
A379,A,Ours,proto_sw_3_2,expanded,simple,3,200002,1,,,5,3,3,5,55.15711530000044,1.8973865999978443,1.294714900002873,0.006738799998856848,0.028945400001248345,58.40007490000062,2238,125,85,227,501,300000,0,raw_cases/A379,1,0,0,0,0,0,0.05430936802214461,0.021319526,0,0,0.0,1.0000000000000002,0,0.07572845581210556,0.020300737810274205,0,0,0.05444561644385538,0.6975085065651497,0.3616806449621095,5,3,5,1.5789689383734544,0.1973711172966818,0.09339914527354971,0.6215866159999999,0.02746938961988304,0.6,0.4,0.6,0.2,0.2,0.205880912,0.2,0.2,0.0,0.2,0.0,0.4,0.0,0.0,0.12121212199999999,0.212121212,0.212121212,0.363636363,0.636363637,0.4,
A380,A,Ours,proto_sw_3_2,expanded,medium,3,200002,1,,,6,4,2,6,55.12844739999855,2.220480600000883,1.4647092999985034,0.003917600002750987,0.033300700000836514,58.86983419999888,2238,150,3,298,256,300000,0,raw_cases/A380,1,0,0,0,0,0,0.06500841075369532,0.021319526,0,0,0.0,1.0000000000000002,0,0.010595839790861017,0.0035163335732944505,0,0,0.06500841075369532,0.6913525177405715,0.2892997491662424,6,2,6,1.5676555780924821,0.19595694726156027,0.07946393775790352,0.573067593,0.0278234649122807,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.411348055,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.12878787875,0.1666666665,0.204545455,0.242424242,0.757575758,0.16666666666666666,
A381,A,Ours,proto_sw_3_2,expanded,rich,3,200002,1,,,7,4,3,7,55.31206519999978,2.5870340000001306,2.4187265999971714,0.012133000000176253,0.03801540000131354,60.39014289999977,2238,175,51,663,2832,300000,0,raw_cases/A381,1,0,0,0,0,0,0.043133940755024955,0.021319526,0,0,0.0,1.0000000000000002,0,0.09085987239311141,0.02764962631800069,0,0,0.04313460367498177,1.271979848578651,0.2892997491662424,7,3,7,1.9432578179925684,0.19432578179925683,0.07862272187993777,0.573067593,0.03433959247076023,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.42857142857142855,0.0,0.658564865,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.090909091,0.121212121,0.196969697,0.242424242,0.757575758,0.2857142857142857,
A382,A,Ours,proto_sw_3_2,compact,simple,3,200002,1,,,5,3,2,5,56.1467072000014,1.882429700002831,1.342721299999539,0.0027689000016835053,0.034524899998359615,59.42761380000229,2222,125,27,357,105,300000,0,raw_cases/A382,1,0,0,0,0,0,0.09931188565254158,0.021319526,0,0,0.0,1.0000000000000002,0,0.05741003379516812,0.034202808087360335,0,0,0.09935907614581463,1.4173604748602895,0.4134679340256103,5,2,5,1.4946361886208528,0.21351945551726467,0.07682786257661721,0.595470087,0.025242141812865496,0.6,0.4,0.6,0.4,0.0,0.208295259,0.2,0.2,0.0,0.2,0.0,0.2,0.2,0.0,0.12121212199999999,0.18181818100000002,0.24242424299999998,0.333333333,0.666666667,0.2,
A383,A,Ours,proto_sw_3_2,compact,medium,3,200002,1,,,6,4,2,6,56.384435400002985,2.243283899999369,1.2644757999987633,0.00562309999804711,0.029714899999817135,59.94904519999909,2222,150,56,365,675,300000,0,raw_cases/A383,1,0,0,0,0,0,0.04971822812391415,0.021319526,0,0,0.0,1.0000000000000002,0,0.03401439699156595,0.01897990314338889,0,0,0.05000291460658063,1.6509382715603569,0.3438665296472299,6,2,6,1.7894723220186315,0.2236840402523289,0.0770297956001107,0.6956874899999999,0.030227750365497075,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.46631123,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.12121212125,0.1515151515,0.204545455,0.272727272,0.727272728,0.16666666666666666,
A384,A,Ours,proto_sw_3_2,compact,rich,3,200002,1,,,7,4,4,7,56.648152100002335,2.6855820000018866,1.8141376999992644,0.015078999997058418,0.030625100000179373,61.20918380000148,2222,175,84,507,7339,300000,0,raw_cases/A384,1,0,0,0,0,0,0.058886357141915376,0.021319526,0,0,0.0,1.0000000000000002,0,0.05729500997987678,0.028472714877598376,0,0,0.06987629918564675,1.361805306463468,0.32448706190983134,7,4,7,1.9050024852809488,0.17318204411644988,0.07080657631543721,0.592240455,0.032312225877192985,0.5714285714285714,0.42857142857142855,0.5714285714285714,0.2857142857142857,0.14285714285714285,0.693044437,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,0.106060606,0.121212121,0.166666667,0.242424242,0.757575758,0.14285714285714285,
A385,A,Ours,proto_sw_3_2,swept,simple,3,200002,1,,,6,4,2,6,58.678425699999934,2.197224700001243,3.1904157000026316,0.0091361999984656,0.02929220000078203,64.12166460000299,2249,150,13,836,1583,300000,0,raw_cases/A385,1,0,0,0,0,0,0.08061465873549571,0.021319526,0,0,0.0,1.0000000000000002,0,0.04777695821251968,0.018998758846326135,0,0,0.08061465873549571,0.8031121231364738,0.36596535301946015,6,2,6,1.5520663783071944,0.1940082972883993,0.08123620453954969,0.48619952099999986,0.026475694444444444,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.0,0.359486117,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.12121212125,0.13636363699999998,0.2196969695,0.272727272,0.727272728,0.16666666666666666,
