group,sample_id,analysis_role,l1_count,l2_count,l2_per_l1,ordinary_total_length,ordinary_mean_length,vertical_span,occupied_area_ratio
generated_ours,A092,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.144692877482179,0.16352755392602555,0.8355868480000002,0.0203421966374269
generated_ours,A101,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,1,0.2,1.0772217767879377,0.1795369627979896,0.702015761,0.01944558662280702
generated_ours,A110,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.1825221526601544,0.16893173609430776,0.750615415,0.021010370979532164
generated_ours,A119,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.1493856597509398,0.1641979513929914,0.7237552349999999,0.019439875730994153
generated_ours,A128,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.180829136527251,0.16868987664675014,0.844588077,0.01814921418128655
generated_ours,A137,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,2,0.4,1.1162479534924474,0.15946399335606393,0.7407749,0.019931012426900586
generated_ours,A146,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,1,0.2,1.0532695922817603,0.17554493204696006,0.6756602030000001,0.018954449926900586
generated_ours,A155,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,1,0.2,1.0033235230672135,0.16722058717786892,0.7155203720000001,0.014437134502923976
generated_ours,A164,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,5,1,0.2,1.0935129039147573,0.18225215065245956,0.750498187,0.019662600511695907
generated_ours,A173,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.1794202975387016,0.1474275371923377,0.40095151100000004,0.018800255847953216
generated_ours,A182,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,2,0.3333333333333333,1.29907248532586,0.1623840606657325,0.354271884,0.021895559210526317
generated_ours,A191,FORMAL_GENERATED_OUTPUT_CANONICAL_CONDITION,6,1,0.16666666666666666,1.2390661316785594,0.17700944738265134,0.3591760639999999,0.018280564692982455
