analysis,control,prototype_id,level,metric,n,mean,median,minimum,maximum,monotonic_triplet_count,monotonic_triplet_fraction,specimen_count,unique_signature_count,unique_signature_ratio,signature_round_decimals
level_distribution,backbone,proto_sw_1_3,compact,root_coverage_qcov,30,0.5606060606333333,0.5757575749999999,0.454545454,0.7272727269999999,,,,,,
level_distribution,backbone,proto_sw_1_3,compact,root_gap_max,30,0.4393939393666667,0.424242425,0.27272727300000005,0.545454546,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,density_resource_D,30,0.4692364693,0.454681855,0.206027613,0.807295903,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,l1_count,30,5.033333333333333,5.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,l2_count,30,1.4666666666666666,1.0,1.0,2.0,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,branchunit_count_evaluated,30,5.033333333333333,5.0,4.0,6.0,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,ordinary_total_length,30,1.1310288197337028,1.1304704154873133,0.7783255265462775,1.4655482230859804,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,ordinary_mean_length,30,0.17557541337744412,0.17695765694205223,0.1474275371923377,0.20679420905241477,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,mean_backbone_excursion,30,0.07473014148992033,0.07564726506117196,0.042748906696752666,0.09938702681500478,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,vertical_span,30,0.7177130210333333,0.726772902,0.38431583399999997,0.844588077,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,occupied_area_ratio,30,0.019045253106725148,0.019442731176900586,0.013974552266081871,0.02519074378654971,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,root_coverage_qcov,30,0.5444444443333333,0.636363636,0.393939394,0.666666667,,,,,,
level_distribution,backbone,proto_sw_1_3,expanded,root_gap_max,30,0.45555555566666667,0.36363636400000005,0.333333333,0.606060606,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,density_resource_D,30,0.4781631329333333,0.444264562,0.196149075,0.742818285,,,,,,
level_distribution,backbone,proto_sw_1_3,swept,l1_count,30,5.1,5.0,4.0,6.0,,,,,,
