figure_panel,selection_rule,case_id,prototype_id,backbone_variant,density_level,production_seed,output_png,output_svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A272,proto_sw_3_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A272__proto_sw_3_1__medium.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A272__proto_sw_3_1__medium.svg
8b_density,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A273,proto_sw_3_1,expanded,rich,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A273__proto_sw_3_1__rich.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8b_density\A273__proto_sw_3_1__rich.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A275,proto_sw_3_1,compact,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A275__proto_sw_3_1__compact.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A275__proto_sw_3_1__compact.svg
8a_backbone,P1/P3/P4; replicate 1; condition fixed before viewing outputs,A278,proto_sw_3_1,swept,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A278__proto_sw_3_1__swept.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8a_backbone\A278__proto_sw_3_1__swept.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B001,proto_sw_1_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B001__proto_sw_1_1__seed_bundle_1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B001__proto_sw_1_1__seed_bundle_1.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B002,proto_sw_1_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B002__proto_sw_1_1__seed_bundle_2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B002__proto_sw_1_1__seed_bundle_2.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B003,proto_sw_1_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B003__proto_sw_1_1__seed_bundle_3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B003__proto_sw_1_1__seed_bundle_3.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B004,proto_sw_1_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B004__proto_sw_1_1__seed_bundle_4.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B004__proto_sw_1_1__seed_bundle_4.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B021,proto_sw_2_3,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B021__proto_sw_2_3__seed_bundle_1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B021__proto_sw_2_3__seed_bundle_1.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B022,proto_sw_2_3,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B022__proto_sw_2_3__seed_bundle_2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B022__proto_sw_2_3__seed_bundle_2.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B023,proto_sw_2_3,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B023__proto_sw_2_3__seed_bundle_3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B023__proto_sw_2_3__seed_bundle_3.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B024,proto_sw_2_3,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B024__proto_sw_2_3__seed_bundle_4.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B024__proto_sw_2_3__seed_bundle_4.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B031,proto_sw_3_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B031__proto_sw_3_1__seed_bundle_1.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B031__proto_sw_3_1__seed_bundle_1.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B032,proto_sw_3_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B032__proto_sw_3_1__seed_bundle_2.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B032__proto_sw_3_1__seed_bundle_2.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B033,proto_sw_3_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B033__proto_sw_3_1__seed_bundle_3.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B033__proto_sw_3_1__seed_bundle_3.svg
8c_seed,P1/P3/P4; replicate 1; condition fixed before viewing outputs,B034,proto_sw_3_1,expanded,medium,200000,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B034__proto_sw_3_1__seed_bundle_4.png,D:\sdxl\chanzhi_sw_clean_oldmain_opt\artifacts\paper_a_chapter4_v1\rq3\examples_control\8c_seed\B034__proto_sw_3_1__seed_bundle_4.svg
