file,object_id,title,object_name,classification,medium,date,culture,source_page,image_url,rights
met_397831.jpg,397831,"Three sphinxes climbing a vine, from ""Ornaments or Grotesques"" (Ornamenti o Grottesche)",Print; Ornament & Architecture,Prints,Etching,ca. 1650–56,,https://www.metmuseum.org/art/collection/search/397831,https://images.metmuseum.org/CRDImages/dp/web-large/DP833531.jpg,The Met Open Access; Public Domain
met_397834.jpg,397834,"Three goats climbing a vine in the shape of a backwards 'S', from ""Ornaments or Grotesques"" (Ornamenti o Grottesche)",Print; Ornament & Architecture,Prints,Etching,ca. 1650–56,,https://www.metmuseum.org/art/collection/search/397834,https://images.metmuseum.org/CRDImages/dp/web-large/DP833536.jpg,The Met Open Access; Public Domain
met_406539.jpg,406539,"Plate 7, from ""Friezes with Birds, Flowers and Meandering Wreaths and Scrolls""",Ornament & Architecture,Prints,Etching,ca. 1600–1617,,https://www.metmuseum.org/art/collection/search/406539,https://images.metmuseum.org/CRDImages/dp/web-large/DP837046.jpg,The Met Open Access; Public Domain
met_406540.jpg,406540,"Plate 8, from ""Friezes with Birds, Flowers and Meandering Wreaths and Scrolls""",Ornament & Architecture,Prints,Etching,ca. 1600–1617,,https://www.metmuseum.org/art/collection/search/406540,https://images.metmuseum.org/CRDImages/dp/web-large/DP837047.jpg,The Met Open Access; Public Domain
met_406541.jpg,406541,"Plate 9, from ""Friezes with Birds, Flowers and Meandering Wreaths and Scrolls""",Ornament & Architecture,Prints,Etching,ca. 1600–1617,,https://www.metmuseum.org/art/collection/search/406541,https://images.metmuseum.org/CRDImages/dp/web-large/DP837048.jpg,The Met Open Access; Public Domain
met_422501.jpg,422501,Vertical Panel with Inhabited Candelabrum Rising from a Cuirass,"Print, Ornament & Architecture",Prints,Engraving,1553,,https://www.metmuseum.org/art/collection/search/422501,https://images.metmuseum.org/CRDImages/dp/web-large/DP836796.jpg,The Met Open Access; Public Domain
met_422672.jpg,422672,Horizontal Panel with Scrolling Tendrils Growing from Center,Print; ornament & architecture,Prints,Engraving,ca. 1535,,https://www.metmuseum.org/art/collection/search/422672,https://images.metmuseum.org/CRDImages/dp/web-large/DP836789.jpg,The Met Open Access; Public Domain
met_423390.jpg,423390,Frieze with Birds Perched on Scrolling Tendrils,Print; ornament & architecture,Prints,Engraving,ca. 1568–1633,,https://www.metmuseum.org/art/collection/search/423390,https://images.metmuseum.org/CRDImages/dp/web-large/DP837034.jpg,The Met Open Access; Public Domain
met_423461.jpg,423461,Vertical Panel with Cupid Holding the End of a Plant Sprouting Tendrils,Print; ornament & architecture,Prints,Engraving,1521,,https://www.metmuseum.org/art/collection/search/423461,https://images.metmuseum.org/CRDImages/dp/web-large/DP834288.jpg,The Met Open Access; Public Domain
met_625830.jpg,625830,"Decorative border panel with a candelabra ornamented with foliate designs, from Life of the Virgin and Christ",Print,Prints,Engraving,1490–1500,,https://www.metmuseum.org/art/collection/search/625830,https://images.metmuseum.org/CRDImages/dp/web-large/DP833936.jpg,The Met Open Access; Public Domain
