case_id,matrix_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,error_type,error_message,ordinary_l1_count,selected_l1_only_count,selected_l2_count,branchunit_count,stage3_runtime_seconds,stage4_runtime_seconds,conflict_graph_runtime_seconds,selection_runtime_seconds,render_runtime_seconds,total_runtime_seconds,l1_candidate_count,branchunit_candidate_count,conflict_edge_count,pair_penalty_count,search_node_count,search_node_limit,search_node_limit_reached,case_dir
A097,A,Ours,proto_sw_1_3,swept,simple,1,200000,1,,,4,3,1,4,23.587890899998456,1.2641036999993958,1.5517094999995606,0.0026795999983733054,0.029170699999667704,26.449309399999038,856,100,0,575,150,300000,0,raw_cases/A097
A098,A,Ours,proto_sw_1_3,swept,medium,1,200000,1,,,6,4,2,6,23.11295489999975,1.8489608999989287,2.480093599999236,0.007286500000191154,0.027513000000908505,27.49309279999943,856,150,56,847,1186,300000,0,raw_cases/A098
A099,A,Ours,proto_sw_1_3,swept,rich,1,200000,1,,,6,4,2,6,23.65501800000129,1.9021927999965556,1.6876685000024736,0.004899600000499049,0.026654900000721682,27.289377199998853,856,150,4,695,433,300000,0,raw_cases/A099
A100,A,Ours,proto_sw_1_3,expanded,simple,2,200001,1,,,4,3,2,4,16.95377240000016,1.2586965999980748,0.3892690000029688,0.0014486000000033528,0.023686100001214072,18.644142200002534,869,100,0,114,73,300000,0,raw_cases/A100
A101,A,Ours,proto_sw_1_3,expanded,medium,2,200001,1,,,5,4,1,5,16.90751739999905,1.6288027000009606,0.554056999997556,0.0028711999984807335,0.03230270000130986,19.144406899999012,869,125,0,189,100,300000,0,raw_cases/A101
A102,A,Ours,proto_sw_1_3,expanded,rich,2,200001,1,,,6,5,1,6,16.96221610000066,2.161396399998921,0.9282231999968644,0.0016765999971539713,0.03210880000187899,20.101706299999933,869,150,0,400,93,300000,0,raw_cases/A102
A103,A,Ours,proto_sw_1_3,compact,simple,2,200001,1,,,4,3,1,4,29.767650100002356,1.302806399999099,2.006074600001739,0.0030722999981662724,0.030556300000171177,33.12551679999888,1112,100,47,437,280,300000,0,raw_cases/A103
A104,A,Ours,proto_sw_1_3,compact,medium,2,200001,1,,,5,4,1,5,29.85862249999991,1.5291115999971225,1.5277298999972118,0.002946100001281593,0.029203899997810367,32.965876400001434,1112,125,37,705,177,300000,0,raw_cases/A104
A105,A,Ours,proto_sw_1_3,compact,rich,2,200001,1,,,6,5,1,6,29.68590200000108,1.8819333999999799,1.2339462999989337,0.0021402000020316336,0.025148999997327337,32.843705999999656,1112,150,33,316,339,300000,0,raw_cases/A105
A106,A,Ours,proto_sw_1_3,swept,simple,2,200001,1,,,4,3,1,4,28.622571700001572,1.2581290999987687,0.7657672000023013,0.00228909999714233,0.02238500000021304,30.68747430000076,814,100,124,292,138,300000,0,raw_cases/A106
A107,A,Ours,proto_sw_1_3,swept,medium,2,200001,1,,,5,4,1,5,28.76695390000168,1.537060599999677,1.2716680000012275,0.0017112000023189466,0.02387050000106683,31.62136610000016,814,125,181,379,121,300000,0,raw_cases/A107
A108,A,Ours,proto_sw_1_3,swept,rich,2,200001,1,,,6,5,1,6,28.475118599999405,1.9625040999999328,0.7727320999983931,0.002024000001256354,0.029847000001609558,31.25779490000059,814,150,0,265,116,300000,0,raw_cases/A108
A109,A,Ours,proto_sw_1_3,expanded,simple,3,200002,1,,,4,3,1,4,13.260790899999847,1.319638599998143,0.8362484999997832,0.0015277999991667457,0.024212500000430737,15.455746999999974,860,100,60,284,144,300000,0,raw_cases/A109
A110,A,Ours,proto_sw_1_3,expanded,medium,3,200002,1,,,5,3,2,5,13.071143500001199,1.5341864000001806,0.9063100999992457,0.003234100000554463,0.024460399999952642,15.558164399997622,860,125,0,316,909,300000,0,raw_cases/A110
A111,A,Ours,proto_sw_1_3,expanded,rich,3,200002,1,,,6,4,2,6,13.046334700000443,1.9460269999981392,3.1942047999982606,0.009037200001330348,0.02892219999921508,18.23975209999844,860,150,0,1112,2340,300000,0,raw_cases/A111
A112,A,Ours,proto_sw_1_3,compact,simple,3,200002,1,,,4,3,1,4,25.433199000002787,1.2572627999979886,0.17001879999952507,0.0010435999975015875,0.023578899999847636,26.90232130000004,1083,100,0,49,70,300000,0,raw_cases/A112
A113,A,Ours,proto_sw_1_3,compact,medium,3,200002,1,,,6,4,2,6,25.343498199999885,1.9767888000023959,1.1656130000010307,0.004209599999740021,0.0326801000010164,28.541989999997895,1083,150,0,378,467,300000,0,raw_cases/A113
A114,A,Ours,proto_sw_1_3,compact,rich,3,200002,1,,,6,4,2,6,25.281788000000233,1.9314432999999553,4.657236600000033,0.008510299998306436,0.027741199999582022,31.921408100002736,1083,150,0,1090,2826,300000,0,raw_cases/A114
A115,A,Ours,proto_sw_1_3,swept,simple,3,200002,1,,,4,3,1,4,22.895038800001203,1.2247538000010536,1.8299112999993667,0.003321000000141794,0.030621600002632476,26.00165299999935,813,100,0,304,163,300000,0,raw_cases/A115
A116,A,Ours,proto_sw_1_3,swept,medium,3,200002,1,,,5,3,2,5,23.055318499998975,1.636118100002932,1.6319187999979476,0.0034446999998181127,0.03341329999966547,26.37303199999951,813,125,91,822,885,300000,0,raw_cases/A116
A117,A,Ours,proto_sw_1_3,swept,rich,3,200002,1,,,6,4,2,6,23.377381400001468,2.0944853000000876,1.5045143999996071,0.0034707000013440847,0.026245600001857383,27.020497699999396,813,150,77,812,1324,300000,0,raw_cases/A117
A118,A,Ours,proto_sw_1_3,expanded,simple,4,200003,1,,,4,3,1,4,19.2036334000004,1.3219951999999466,0.7865812000018195,0.002289500000188127,0.025790700001380173,21.35826299999826,857,100,29,273,148,300000,0,raw_cases/A118
A119,A,Ours,proto_sw_1_3,expanded,medium,4,200003,1,,,5,3,2,5,33.046034099999815,1.5569310999999288,0.574700599998323,0.0019786999982898124,0.02846470000076806,35.22137239999938,857,125,40,226,269,300000,0,raw_cases/A119
A120,A,Ours,proto_sw_1_3,expanded,rich,4,200003,1,,,6,4,2,6,33.29562149999765,1.8899588999993284,0.6870719999969879,0.0018922000017482787,0.02753870000015013,35.919258300000365,857,150,16,216,242,300000,0,raw_cases/A120
A121,A,Ours,proto_sw_1_3,compact,simple,4,200003,1,,,4,3,1,4,29.512868900001195,1.231253400001151,0.5760497000010218,0.0021368999987316784,0.025684000000183005,31.36407539999709,1089,100,0,136,81,300000,0,raw_cases/A121
A122,A,Ours,proto_sw_1_3,compact,medium,4,200003,1,,,6,4,3,6,29.65511450000122,1.907536099999561,0.730789500001265,0.0020232999995641876,0.026671399999031564,32.33753079999951,1089,150,28,153,272,300000,0,raw_cases/A122
A123,A,Ours,proto_sw_1_3,compact,rich,4,200003,1,,,6,4,3,6,29.231641900001705,1.8883725000014238,0.7270560000033583,0.002477300000464311,0.03268770000067889,31.896128199998202,1089,150,28,153,272,300000,0,raw_cases/A123
A124,A,Ours,proto_sw_1_3,swept,simple,4,200003,1,,,4,3,1,4,23.80548970000018,1.269817400003376,0.3529331000027014,0.0031061999980011024,0.031341099998826394,25.481082199999946,820,100,0,213,133,300000,0,raw_cases/A124
A125,A,Ours,proto_sw_1_3,swept,medium,4,200003,1,,,5,3,2,5,23.76597920000131,1.591862700002821,0.2586697999977332,0.002658299999893643,0.026567199998680735,25.663893999997526,820,125,0,96,88,300000,0,raw_cases/A125
A126,A,Ours,proto_sw_1_3,swept,rich,4,200003,1,,,6,4,2,6,23.714561499997217,1.8945434000015666,0.7420657000002393,0.00436239999908139,0.029247900001792004,26.40259590000278,820,150,51,243,764,300000,0,raw_cases/A126
A127,A,Ours,proto_sw_1_3,expanded,simple,5,200004,1,,,4,3,2,4,16.19301700000142,1.3176681000004464,1.2514422999993258,0.0014965000009397045,0.028788600000552833,18.80578090000199,860,100,0,270,91,300000,0,raw_cases/A127
A128,A,Ours,proto_sw_1_3,expanded,medium,5,200004,1,,,5,3,2,5,16.39952059999996,1.6923478999997315,2.548686899997847,0.007421599999361206,0.0320257000021229,20.69303680000303,860,125,0,620,1239,300000,0,raw_cases/A128
A129,A,Ours,proto_sw_1_3,expanded,rich,5,200004,1,,,6,4,2,6,16.56220100000064,1.9707908000018506,2.880584099999396,0.0036489999984041788,0.033736299999873154,21.465737000002264,860,150,0,711,412,300000,0,raw_cases/A129
A130,A,Ours,proto_sw_1_3,compact,simple,5,200004,1,,,4,3,1,4,32.818181300001015,1.2530000000006112,1.2058412999977008,0.00229149999722722,0.023468200000934303,35.31702330000189,1186,100,0,361,155,300000,0,raw_cases/A130
A131,A,Ours,proto_sw_1_3,compact,medium,5,200004,1,,,5,3,3,5,32.86077430000296,1.679212600000028,3.4041976000007708,0.006102799998188857,0.02728690000003553,37.99124529999972,1186,125,0,566,268,300000,0,raw_cases/A131
A132,A,Ours,proto_sw_1_3,compact,rich,5,200004,1,,,6,4,2,6,32.611315999998624,1.9371665999969991,2.960505999999441,0.008464599999570055,0.026211899999907473,37.561508500002674,1186,150,32,537,571,300000,0,raw_cases/A132
A133,A,Ours,proto_sw_1_3,swept,simple,5,200004,1,,,4,3,1,4,26.87738420000096,1.2906240999982401,1.5001006000020425,0.00142529999720864,0.028191299999889452,29.711732600000687,848,100,0,357,52,300000,0,raw_cases/A133
A134,A,Ours,proto_sw_1_3,swept,medium,5,200004,1,,,6,4,2,6,43.87856049999755,1.9493423999992956,2.9589835999977367,0.00417129999914323,0.03441730000122334,48.84025529999781,848,150,139,1084,982,300000,0,raw_cases/A134
A135,A,Ours,proto_sw_1_3,swept,rich,5,200004,1,,,6,4,2,6,27.15852079999968,1.8654741999998805,2.9094131999991077,0.002290300002641743,0.02442680000240216,31.980793900002027,848,150,192,485,191,300000,0,raw_cases/A135
A136,A,Ours,proto_sw_1_3,expanded,simple,6,200005,1,,,4,3,1,4,16.85353699999905,1.3427407999988645,0.8295163000002503,0.0015297000027203467,0.028475399998569628,19.068070299999818,819,100,0,367,151,300000,0,raw_cases/A136
A137,A,Ours,proto_sw_1_3,expanded,medium,6,200005,1,,,5,3,2,5,17.071595000001253,1.5703901000015321,0.6705604999988282,0.003800099999352824,0.03036689999862574,19.36551359999794,819,125,0,281,450,300000,0,raw_cases/A137
A138,A,Ours,proto_sw_1_3,expanded,rich,6,200005,1,,,6,4,2,6,16.970400099999097,1.949371800001245,1.4800756000004185,0.0070727999991504475,0.02953669999988051,20.454752699999517,819,150,0,608,947,300000,0,raw_cases/A138
