context_id,prototype_id,backbone_variant,replicate,production_seed,backbone_seed,flower_seed,branch_seed,unit_seed,density_level,candidate_pool_count,l1_conflict_edge_count,old_selection_success,h2_selection_success,old_error,h2_error,old_runtime_seconds,h2_runtime_seconds,target_quantile,target_resource_score,old_selected_L1_count,h2_selected_L1_count,old_ordinary_l1_count,h2_ordinary_l1_count,old_total_planning_length,h2_total_planning_length,old_mean_backbone_excursion,h2_mean_backbone_excursion,old_mean_vertical_span,h2_mean_vertical_span,old_composite_resource_score,h2_composite_resource_score,old_structural_score,h2_structural_score,old_root_distribution,h2_root_distribution,old_root_coverage,h2_root_coverage,old_minimum_root_spacing_actual,h2_minimum_root_spacing_actual,old_minimum_lane_clearance,h2_minimum_lane_clearance,old_curve_crossing_count,h2_curve_crossing_count,old_periodic_crossing_count,h2_periodic_crossing_count,old_flower_reserve_intrusion_count,h2_flower_reserve_intrusion_count,old_absolute_density_target_error,h2_absolute_density_target_error,old_render_file,h2_render_file
proto_sw_3_2__expanded__r2,proto_sw_3_2,expanded,2,100004,1033296627,2761789635,3906224916,1967235406,rich,445,25632,True,True,,,19.065426499997557,18.99969570000394,0.8,0.668469951,7,7,7.0,7.0,1.5729121309999998,1.571351059,0.11728988842857142,0.15089916928571429,0.10353549799999999,0.1368206692857143,0.5929356139664985,0.6537620751998333,4.302783046954766,4.2911567672561945,"[0.074130646, 0.195342768, 0.316554889, 0.40746398, 0.558979131, 0.680191253, 0.801403374]","[0.074130646, 0.195342768, 0.316554889, 0.46807004, 0.589282162, 0.680191253, 0.771100343]",0.8787878779999999,0.8711003429999999,0.0625,0.0625,0.04356417293162291,0.07380525803697326,0,0,0,0,0,0,0.07553433703350143,0.014707875800166637,raw_contexts/proto_sw_3_2__expanded__r2/old_rich.png,raw_contexts/proto_sw_3_2__expanded__r2/h2_rich.png
proto_sw_3_2__compact__r1,proto_sw_3_2,compact,1,100002,597182601,2971350444,1978891010,1570248508,simple,380,20396,True,True,,,14.557249099998444,14.47848669999803,0.2,0.257251249,5,5,5.0,5.0,1.14130279,1.14130279,0.1486666376,0.1486666376,0.14443490399999998,0.14443490399999998,0.19988262457613531,0.19988262457613531,4.658460981565222,4.658460981565222,"[0.089565922, 0.180475013, 0.392596225, 0.665323498, 0.756232589]","[0.089565922, 0.180475013, 0.392596225, 0.665323498, 0.756232589]",0.831232589,0.831232589,0.09090909099999998,0.09090909099999998,0.09187702395832709,0.09187702395832709,0,0,0,0,0,0,0.0573686244238647,0.0573686244238647,raw_contexts/proto_sw_3_2__compact__r1/old_simple.png,raw_contexts/proto_sw_3_2__compact__r1/h2_simple.png
proto_sw_3_2__compact__r1,proto_sw_3_2,compact,1,100002,597182601,2971350444,1978891010,1570248508,medium,380,20396,True,True,,,14.478297499998007,14.481323700005305,0.5,0.430664932,6,6,6.0,6.0,1.269178494,1.336969287,0.14002734883333334,0.14379225516666666,0.12817855233333333,0.11339677116666667,0.37564353942725215,0.3965876335948591,4.63669810639,4.63025608286,"[0.089565922, 0.180475013, 0.301687134, 0.392596225, 0.665323498, 0.756232589]","[0.089565922, 0.180475013, 0.483505316, 0.604717437, 0.725929558, 0.816838649]",0.831232589,0.835434078,0.09090909099999998,0.09090909099999998,0.09127401516627566,0.08872770826549767,0,0,0,0,0,0,0.05502139257274785,0.0340772984051409,raw_contexts/proto_sw_3_2__compact__r1/old_medium.png,raw_contexts/proto_sw_3_2__compact__r1/h2_medium.png
proto_sw_3_2__compact__r1,proto_sw_3_2,compact,1,100002,597182601,2971350444,1978891010,1570248508,rich,380,20396,True,True,,,14.681159799998568,14.439614100003382,0.8,0.632295497,7,7,7.0,7.0,1.530043121,1.530043121,0.12979921385714285,0.12979921385714285,0.14215111557142857,0.14215111557142857,0.614947800203399,0.614947800203399,4.653658126227143,4.653658126227143,"[0.089565922, 0.180475013, 0.301687134, 0.392596225, 0.544111377, 0.665323498, 0.756232589]","[0.089565922, 0.180475013, 0.301687134, 0.392596225, 0.544111377, 0.665323498, 0.756232589]",0.831232589,0.831232589,0.09090909099999998,0.09090909099999998,0.06384102500245098,0.06384102500245098,0,0,0,0,0,0,0.017347696796600975,0.017347696796600975,raw_contexts/proto_sw_3_2__compact__r1/old_rich.png,raw_contexts/proto_sw_3_2__compact__r1/h2_rich.png
proto_sw_3_2__compact__r2,proto_sw_3_2,compact,2,100003,1160543302,2849337252,1964058663,3521747513,simple,479,30889,True,True,,,25.396000900000217,25.213263900004677,0.2,0.226241269,5,5,5.0,5.0,1.029220938,1.2319371929999998,0.1258584218,0.16086276260000001,0.1330778326,0.15495898440000003,0.08830857975781353,0.22166291851475045,4.64541612767,4.637834896501846,"[0.106105925, 0.197015016, 0.378833198, 0.681863501, 0.833378653]","[0.106105925, 0.197015016, 0.378833198, 0.651560471, 0.772772592]",0.831394075,0.831394075,0.09090909099999998,0.09090909099999998,0.05029797260010241,0.05029797260010241,0,0,0,0,0,0,0.13793268924218646,0.004578350485249544,raw_contexts/proto_sw_3_2__compact__r2/old_simple.png,raw_contexts/proto_sw_3_2__compact__r2/h2_simple.png
proto_sw_3_2__compact__r2,proto_sw_3_2,compact,2,100003,1160543302,2849337252,1964058663,3521747513,medium,479,30889,True,True,,,24.416998699998658,22.198089299999992,0.5,0.432351101,6,6,6.0,6.0,1.2828883549999999,1.52924372,0.13770784716666667,0.1594193856666667,0.11607238583333335,0.14848086600000002,0.3398051987494213,0.4804234466048659,4.660286115333333,4.650332979133333,"[0.106105925, 0.197015016, 0.378833198, 0.53034835, 0.681863501, 0.833378653]","[0.106105925, 0.197015016, 0.439439259, 0.651560471, 0.742469562, 0.833378653]",0.831394075,0.831394075,0.09090909099999998,0.09090909099999998,0.05029797260010241,0.08365511771733476,0,0,0,0,0,0,0.09254590225057874,0.048072345604865896,raw_contexts/proto_sw_3_2__compact__r2/old_medium.png,raw_contexts/proto_sw_3_2__compact__r2/h2_medium.png
proto_sw_3_2__compact__r2,proto_sw_3_2,compact,2,100003,1160543302,2849337252,1964058663,3521747513,rich,479,30889,True,True,,,22.35823420000088,21.21586070000194,0.8,0.665671601,7,7,7.0,7.0,1.56089132,1.56089132,0.15285319042857146,0.15285319042857146,0.13754652414285715,0.13754652414285715,0.6280662228421954,0.6280662228421954,4.663243811128503,4.663243811128503,"[0.106105925, 0.197015016, 0.318227137, 0.439439259, 0.651560471, 0.742469562, 0.833378653]","[0.106105925, 0.197015016, 0.318227137, 0.439439259, 0.651560471, 0.742469562, 0.833378653]",0.831394075,0.831394075,0.09090909099999998,0.09090909099999998,0.037413541726553,0.037413541726553,0,0,0,0,0,0,0.037605378157804625,0.037605378157804625,raw_contexts/proto_sw_3_2__compact__r2/old_rich.png,raw_contexts/proto_sw_3_2__compact__r2/h2_rich.png
proto_sw_3_2__swept__r1,proto_sw_3_2,swept,1,100000,146086172,4157341395,2781254137,4054807205,simple,455,28327,True,True,,,23.594151000004786,23.198728800001845,0.2,0.234201134,5,5,5.0,5.0,1.036245018,1.198214718,0.1377203698,0.16359041419999998,0.0970732032,0.18185194500000001,0.10939263792333634,0.2429120979506442,4.625450894484,4.619314750807947,"[0.099808813, 0.251323964, 0.463445176, 0.675566389, 0.82708154]","[0.130111843, 0.281626995, 0.372536085, 0.645263358, 0.82708154]",0.82708154,0.818181818,0.099808813,0.09090909000000003,0.12143426867918654,0.05034624773572284,0,0,0,0,0,0,0.12480849607666367,0.00871096395064419,raw_contexts/proto_sw_3_2__swept__r1/old_simple.png,raw_contexts/proto_sw_3_2__swept__r1/h2_simple.png
proto_sw_3_2__swept__r1,proto_sw_3_2,swept,1,100000,146086172,4157341395,2781254137,4054807205,medium,455,28327,True,True,,,23.043417599998065,20.61825730000419,0.5,0.428648998,6,6,6.0,6.0,1.287816378,1.311668556,0.14472739616666666,0.15902362716666665,0.133329444,0.14048197016666666,0.38074047787371446,0.408445256042839,4.655554440346667,4.649299244433333,"[0.130111843, 0.281626995, 0.433142146, 0.675566389, 0.79677851, 0.887687601]","[0.099808813, 0.251323964, 0.372536085, 0.493748207, 0.675566389, 0.82708154]",0.848484848,0.82708154,0.090909091,0.099808813,0.07971649787314097,0.09781609526368949,0,0,0,0,0,0,0.04790852012628555,0.020203741957161014,raw_contexts/proto_sw_3_2__swept__r1/old_medium.png,raw_contexts/proto_sw_3_2__swept__r1/h2_medium.png
proto_sw_3_2__swept__r1,proto_sw_3_2,swept,1,100000,146086172,4157341395,2781254137,4054807205,rich,455,28327,True,True,,,21.013350599998375,19.91070729999774,0.8,0.653443241,7,7,7.0,7.0,1.592105692,1.592105692,0.14883601814285713,0.14883601814285713,0.173952521,0.173952521,0.6712268580656584,0.6712268580656584,4.661999918956785,4.661999918956785,"[0.099808813, 0.190717904, 0.281626995, 0.402839116, 0.554354267, 0.705869419, 0.85738457]","[0.099808813, 0.190717904, 0.281626995, 0.402839116, 0.554354267, 0.705869419, 0.85738457]",0.848484848,0.848484848,0.090909091,0.090909091,0.0359790275219787,0.0359790275219787,0,0,0,0,0,0,0.017783617065658452,0.017783617065658452,raw_contexts/proto_sw_3_2__swept__r1/old_rich.png,raw_contexts/proto_sw_3_2__swept__r1/h2_rich.png
