case_id,source_group,prototype_id,backbone_variant,density_level,replicate,production_seed,formal_triple_png,formal_triple_svg,formal_single_svg,mechanical_validity,single_review_source_svg,single_review_mode
A026,matrix_A,proto_sw_1_1,swept,medium,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A026/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A026/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A026/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A027,matrix_A,proto_sw_1_1,swept,rich,3,200002,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A027/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A027/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A027/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A028,matrix_A,proto_sw_1_1,expanded,simple,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A028/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A028/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A028/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A029,matrix_A,proto_sw_1_1,expanded,medium,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A029/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A029/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A029/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A030,matrix_A,proto_sw_1_1,expanded,rich,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A030/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A030/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A030/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A031,matrix_A,proto_sw_1_1,compact,simple,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A031/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A031/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A031/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A032,matrix_A,proto_sw_1_1,compact,medium,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A032/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A032/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A032/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A033,matrix_A,proto_sw_1_1,compact,rich,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A033/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A033/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A033/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A034,matrix_A,proto_sw_1_1,swept,simple,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A034/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A034/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A034/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A035,matrix_A,proto_sw_1_1,swept,medium,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A035/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A035/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A035/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A036,matrix_A,proto_sw_1_1,swept,rich,4,200003,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A036/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A036/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A036/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A037,matrix_A,proto_sw_1_1,expanded,simple,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A037/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A037/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A037/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A038,matrix_A,proto_sw_1_1,expanded,medium,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A038/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A038/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A038/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A039,matrix_A,proto_sw_1_1,expanded,rich,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A039/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A039/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A039/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A040,matrix_A,proto_sw_1_1,compact,simple,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A040/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A040/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A040/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A041,matrix_A,proto_sw_1_1,compact,medium,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A041/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A041/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A041/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A042,matrix_A,proto_sw_1_1,compact,rich,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A042/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A042/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A042/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A043,matrix_A,proto_sw_1_1,swept,simple,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A043/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A043/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A043/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A044,matrix_A,proto_sw_1_1,swept,medium,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A044/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A044/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A044/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A045,matrix_A,proto_sw_1_1,swept,rich,5,200004,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A045/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A045/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A045/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A046,matrix_A,proto_sw_1_1,expanded,simple,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A046/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A046/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A046/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A047,matrix_A,proto_sw_1_1,expanded,medium,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A047/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A047/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A047/formal_triple.svg,central_period_viewport_from_formal_triple_svg
A048,matrix_A,proto_sw_1_1,expanded,rich,6,200005,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A048/formal_triple.png,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A048/formal_triple.svg,,1,artifacts/paper_a_chapter4_v1/rq1_rq3/formal_ours/raw_cases/A048/formal_triple.svg,central_period_viewport_from_formal_triple_svg
