case_id,method,prototype_id,backbone_variant,density_level,replicate,production_seed,generation_success,l1_generation_success,unit_generation_applicable,unit_generation_success,error_type,error_message,ordinary_l1_count,selected_l2_count,branchunit_count,shared_stage3_plan_id,shared_stage4_inventory_id,shared_conflict_graph_id,method_plan_id,method_selection_id,runtime_seconds,method_dir
C024,LocalGreedy,proto_sw_1_3,expanded,rich,2,100035,1,1,1,1,,,6,4,6,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich__unit_candidates_v2,a4f7222434034eae3cd8a4a8b4ea8358f9c82b7af84e9e26debe2922376ca348,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,0.05203160000019125,raw_cases/C024/methods/LocalGreedy
C024,Ours,proto_sw_1_3,expanded,rich,2,100035,1,1,1,1,,,6,2,6,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich__unit_candidates_v2,a4f7222434034eae3cd8a4a8b4ea8358f9c82b7af84e9e26debe2922376ca348,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_2041979072__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b,0.04442959999869345,raw_cases/C024/methods/Ours
C025,IndependentCurve,proto_sw_1_3,compact,simple,1,100007,1,1,0,0,,,4,0,4,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple,,,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.04665039999963483,raw_cases/C025/methods/IndependentCurve
C025,FixedSlot,proto_sw_1_3,compact,simple,1,100007,1,1,1,1,,,4,1,4,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple,,,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,3.2554769000016677,raw_cases/C025/methods/FixedSlot
C025,LocalGreedy,proto_sw_1_3,compact,simple,1,100007,1,1,1,1,,,4,2,4,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple__unit_candidates_v2,9f21acb465009b8d44197f573e3b182a97b39819c78eefe3b7ad1ffce3af6304,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.04338920000009239,raw_cases/C025/methods/LocalGreedy
C025,Ours,proto_sw_1_3,compact,simple,1,100007,1,1,1,1,,,4,1,4,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple__unit_candidates_v2,9f21acb465009b8d44197f573e3b182a97b39819c78eefe3b7ad1ffce3af6304,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_3756345937__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.045580300000438,raw_cases/C025/methods/Ours
C026,IndependentCurve,proto_sw_1_3,compact,simple,2,100010,1,1,0,0,,,4,0,4,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple,,,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple__baseline_independentcurve,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple__baseline_independentcurve__selection,0.039990499997657025,raw_cases/C026/methods/IndependentCurve
C026,FixedSlot,proto_sw_1_3,compact,simple,2,100010,1,1,1,1,,,4,1,4,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple,,,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple__baseline_fixedslot,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,3.525130599999102,raw_cases/C026/methods/FixedSlot
C026,LocalGreedy,proto_sw_1_3,compact,simple,2,100010,1,1,1,1,,,4,2,4,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple__unit_candidates_v2,0ce9e9e13899815956eb2d2304091de726ee344eb543f48f9a80746e6580eb0b,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_sparse5e,0.054207599998335354,raw_cases/C026/methods/LocalGreedy
C026,Ours,proto_sw_1_3,compact,simple,2,100010,1,1,1,1,,,4,2,4,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple__unit_candidates_v2,0ce9e9e13899815956eb2d2304091de726ee344eb543f48f9a80746e6580eb0b,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple,proto_sw_1_3__seed_1989963110__global_l1_flow_v3__density_simple__unit_candidates_v2__global_unit_selection_joint_h2b,0.048531199998251395,raw_cases/C026/methods/Ours
C027,IndependentCurve,proto_sw_1_3,compact,medium,1,100000,1,1,0,0,,,6,0,6,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium,,,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium__baseline_independentcurve,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium__baseline_independentcurve__selection,0.04650719999699504,raw_cases/C027/methods/IndependentCurve
C027,FixedSlot,proto_sw_1_3,compact,medium,1,100000,1,1,1,1,,,6,2,6,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium,,,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium__baseline_fixedslot,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,5.43271950000053,raw_cases/C027/methods/FixedSlot
C027,LocalGreedy,proto_sw_1_3,compact,medium,1,100000,1,1,1,1,,,6,3,6,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium__unit_candidates_v2,11cbfe50b586a78398d88ed1f4a444c6baa1ddc5c12ff838acdeed563191b587,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,0.049924899998586625,raw_cases/C027/methods/LocalGreedy
C027,Ours,proto_sw_1_3,compact,medium,1,100000,1,1,1,1,,,6,2,6,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium__unit_candidates_v2,11cbfe50b586a78398d88ed1f4a444c6baa1ddc5c12ff838acdeed563191b587,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_2781254137__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b,0.050486000000091735,raw_cases/C027/methods/Ours
C028,IndependentCurve,proto_sw_1_3,compact,medium,2,100006,1,1,0,0,,,5,0,5,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium,,,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium__baseline_independentcurve,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium__baseline_independentcurve__selection,0.04516670000157319,raw_cases/C028/methods/IndependentCurve
C028,FixedSlot,proto_sw_1_3,compact,medium,2,100006,0,0,1,0,GlobalL1FlowError,global candidate pool has no complete compatible assignment,,,,,,,,,0.15614339999956428,
C028,LocalGreedy,proto_sw_1_3,compact,medium,2,100006,1,1,1,1,,,5,2,5,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2,2c596053a6feddc2f678d649ca9ed6ae3fdcc12fa063e34bac4186896e8598fd,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_sparse5e,0.05026140000336454,raw_cases/C028/methods/LocalGreedy
C028,Ours,proto_sw_1_3,compact,medium,2,100006,1,1,1,1,,,5,1,5,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2,2c596053a6feddc2f678d649ca9ed6ae3fdcc12fa063e34bac4186896e8598fd,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium,proto_sw_1_3__seed_4182263884__global_l1_flow_v3__density_medium__unit_candidates_v2__global_unit_selection_joint_h2b,0.04752069999813102,raw_cases/C028/methods/Ours
C029,IndependentCurve,proto_sw_1_3,compact,rich,1,100008,1,1,0,0,,,6,0,6,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich,,,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich__baseline_independentcurve,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich__baseline_independentcurve__selection,0.039910899999085814,raw_cases/C029/methods/IndependentCurve
C029,FixedSlot,proto_sw_1_3,compact,rich,1,100008,1,1,1,1,,,6,2,6,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich,,,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich__baseline_fixedslot,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich__baseline_fixedslot__unit_candidates_v2__global_unit_selection_joint_h2b,6.201655400000163,raw_cases/C029/methods/FixedSlot
C029,LocalGreedy,proto_sw_1_3,compact,rich,1,100008,1,1,1,1,,,6,3,6,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich__unit_candidates_v2,575472cb98503bd627ef27b157b2dc523c99d931b5d15a4238692a887e7f74f0,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_sparse5e,0.054146899998158915,raw_cases/C029/methods/LocalGreedy
C029,Ours,proto_sw_1_3,compact,rich,1,100008,1,1,1,1,,,6,2,6,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich__unit_candidates_v2,575472cb98503bd627ef27b157b2dc523c99d931b5d15a4238692a887e7f74f0,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich,proto_sw_1_3__seed_399132903__global_l1_flow_v3__density_rich__unit_candidates_v2__global_unit_selection_joint_h2b,0.04959420000159298,raw_cases/C029/methods/Ours
