"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\066__strict2_A__A29_d01430115_p67_i02_275x119.jpeg","21.983","24","14","0.2188","0.0218","0.1601","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\055__strict2_A__A18_d625113_p59_i01_397x104.png","19.1443","30","21","0.3134","0.0211","0.1314","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn15_zs321_open_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A28__candidate_194__D01448673_tang_ceiling_pattern_p245_i05_x3133_303x102.png","19.5253","32","12","0.2308","0.0228","0.1441","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn15_zs321_open_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A34__candidate_212__D01448673_tang_ceiling_pattern_p252_i05_x3231_356x106.png","18.059","32","8","0.1111","0.0093","0.1393","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn15_zs321_open_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\R05__meyer_05_p95_fig2_grape_vine.png","17.0383","30","17","0.2931","0.0125","0.1205","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A26__candidate_190__D01448673_tang_ceiling_pattern_p244_i03_x3125_302x115.png","83.5351","28","338","0.6926","0.3939","0.3971","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","17.5592","26","48","0.2981","0.1019","0.1018","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\028__strict1_A__A06_thesis_mogao418_row2.png","17.3062","32","12","0.1071","0.0062","0.1295","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn17_tang_ceramic_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\031__strict1_B__B01_journal_mogao154.png","16.059","30","17","0.2048","0.009","0.1146","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn17_tang_ceramic_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\014__local_B__Snipaste_2026-04-13_15-34-57.png","15.987","24","19","0.3065","0.0155","0.1113","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn17_tang_ceramic_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-17-49.png","15.2461","28","35","0.8333","0.0994","0.091","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\035__strict1_B__B05_thesis_mogao217.png","31.2712","20","722","0.9525","0.2888","0.1459","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\072__strict2_B__B04_d625113_p25_i00_696x81.png","17.7495","36","7","0.5","0.0049","0.132","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\064__strict2_A__A27_d01430115_p66_i10_248x92.jpeg","17.3422","24","7","0.1522","0.0169","0.1341","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A34__candidate_212__D01448673_tang_ceiling_pattern_p252_i05_x3231_356x106.png","36.2679","22","182","0.5084","0.2116","0.1747","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\035__strict1_B__B05_thesis_mogao217.png","30.7538","14","153","0.7018","0.0612","0.1461","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\030__strict1_A__A08_journal_mogao180.png","25.8708","28","10","0.1667","0.0052","0.1953","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\042__strict2_A__A03_d625113_p22_i01_304x115.png","24.3563","24","5","0.625","0.0065","0.1813","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\015__local_B__Snipaste_2026-04-18_15-50-53.png","22.8866","36","10","0.3846","0.004","0.1686","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\016__local_B__Snipaste_2026-04-18_15-51-12.png","21.3562","34","5","0.5","0.002","0.1612","no"
