"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn17_tang_ceramic_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\011__local_A__Snipaste_2026-04-18_15-55-07.png","138.8397","30","118","0.6413","0.1002","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn17_tang_ceramic_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A32__candidate_207__D01448673_tang_ceiling_pattern_p250_i05_x3198_353x90.png","95.5754","32","79","0.2904","0.1346","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\035__strict1_B__B05_thesis_mogao217.png","764.1541","20","722","0.9525","0.2888","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\Snipaste_2026-07-15_13-18-45.png","71.2885","28","44","0.6875","0.1692","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn18_zs217_fruit_flower_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png","69.0077","36","48","0.2945","0.189","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A34__candidate_212__D01448673_tang_ceiling_pattern_p252_i05_x3231_356x106.png","209.0978","22","182","0.5084","0.2116","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_batch3_20260715\A05__candidate_077__D01448673_tang_ceiling_pattern_p149_i21_x2102_283x82.png","207.3179","30","166","0.6561","0.3524","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn19_zs225_bottom_botanical_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\035__strict1_B__B05_thesis_mogao217.png","171.9327","14","153","0.7018","0.0612","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","1","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\032__strict1_B__B02_zsbeike_mogao196_dense_scroll.png","1792.4987","28","1718","0.9761","0.6872","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","2","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\047__strict2_A__A09_d625113_p40_i02_397x104.png","77.7579","30","54","0.3375","0.2126","yes"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn20_zs196_continuous_scroll.png","3","D:\sdxl\chanzhi_sw_clean\data\review_candidates_all_20260715\007__local_A__Snipaste_2026-04-13_15-54-46.png","54.293","28","41","0.5467","0.0295","yes"
