"candidate","rank","reference","score","phash_distance","sift_inliers","inlier_ratio","feature_coverage","structure_score","likely_duplicate"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_015__sina_15_sheet04_row02.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","14.2367","30","1","0.0","0.0","0.1177","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_016__sina_16_sheet04_row03.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","18.5406","34","3","0.0","0.0","0.1507","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_016__sina_16_sheet04_row03.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","16.7769","30","7","0.5833","0.0292","0.1236","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_016__sina_16_sheet04_row03.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn15_zs321_open_flower_scroll.png","15.8543","36","2","0.0","0.0","0.13","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_017__sina_17_sheet04_row04.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn14_zs321_dense_flower_scroll.png","17.8247","26","4","0.5","0.015","0.1355","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_017__sina_17_sheet04_row04.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn16_zs321_round_flower_scroll.png","15.9786","28","4","0.6667","0.015","0.1192","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_017__sina_17_sheet04_row04.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn09_baidu_flower_loop_row.png","14.9238","26","4","1.0","0.015","0.1074","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_018__sina_18_sheet05_row01.png","1","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn17_tang_ceramic_scroll.png","8.1878","28","4","1.0","0.0571","0.0589","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_018__sina_18_sheet05_row01.png","2","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn03_jicai_large_leaf_s_vine.png","6.7421","38","0","0.0","0.0","0.0562","no"
"D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\sina_filtered_v2\candidate_018__sina_18_sheet05_row01.png","3","D:\sdxl\chanzhi_sw_clean\data\source_candidates\web_independent_batch4_20260715\cn_web_visual20_20260715\crops\cn01_jicai_looped_leaf_vine.png","5.8552","38","1","0.0","0.0","0.0484","no"
